"Story","Title","Result","Date","Stability","Duration (s)"
"Login","Colin log in with valid credentials","SUCCESS","2022-07-14T21:44:22.814633115Z[Etc/UTC]","0.0","16.78"
"Adding items to the cart","Colin adds some  items to his cart","SUCCESS","2022-07-14T21:44:47.355033657Z[Etc/UTC]","0.0","5.95"
